	51	ksaw channel 51	KSAW Channel 51	http://dbpedia.org/ontology/alias
	50	50 cent	50 Cent	http://dbpedia.org/ontology/alias
	champion	lightspeed champion	Lightspeed Champion	http://dbpedia.org/ontology/alias
	star	star 102.1	Star 102.1	http://dbpedia.org/ontology/alias
	pinto	ricardo jorge ferreira pinto silva	Ricardo Jorge Ferreira Pinto Silva	http://dbpedia.org/ontology/alias
	jr.	portman jr.	Portman Jr., John C.	http://dbpedia.org/ontology/alias
	american	american football cornerback	American football cornerback	http://dbpedia.org/ontology/alias
	west	konk 1500 am community radio for key west	KONK 1500 AM Community Radio for Key West	http://dbpedia.org/ontology/alias
	98	ckrs 98	CKRS 98,3	http://dbpedia.org/ontology/alias
	christian	george christian cirksena	George Christian Cirksena	http://dbpedia.org/ontology/alias
	lo	ramon lo	Ramon Lo	http://dbpedia.org/ontology/alias
	radio	90.3 family life radio	90.3 Family Life Radio	http://dbpedia.org/ontology/alias
	westside	dommy westside	Dommy Westside	http://dbpedia.org/ontology/alias
	dark	dark sorceress	Dark Sorceress	http://dbpedia.org/ontology/alias
	world	world in action	World in Action	http://dbpedia.org/ontology/alias
	d.	d. scott rogo	D. Scott Rogo	http://dbpedia.org/ontology/alias
	brown	barbara brown	Barbara Brown, My Prada Heels	http://dbpedia.org/ontology/alias
	one	cbc radio one fredericton	CBC Radio One Fredericton	http://dbpedia.org/ontology/alias
	8	wsvi-tv channel 8	WSVI-TV Channel 8 (general)	http://dbpedia.org/ontology/alias
	rich	william the rich	William the Rich (nickname); Wilhelm I., Graf von Nassau-Dillenburg (German); Wilhelm der Reiche	http://dbpedia.org/ontology/alias
