	radio	seattle sounders radio network	http://dbpedia.org/resource/Seattle_Sounders_Radio_Network	http://dbpedia.org/ontology/broadcastNetwork
	state	ohio state img sports network	http://dbpedia.org/resource/Ohio_State_IMG_Sports_Network	http://dbpedia.org/ontology/broadcastNetwork
	daily	the daily gamecock	http://dbpedia.org/resource/The_Daily_Gamecock	http://dbpedia.org/ontology/broadcastNetwork
	sport	sport	http://dbpedia.org/resource/Sport	http://dbpedia.org/ontology/broadcastNetwork
	radio	moody radio	http://dbpedia.org/resource/Moody_Radio	http://dbpedia.org/ontology/broadcastNetwork
	broadcast	dispatch broadcast group	http://dbpedia.org/resource/Dispatch_Broadcast_Group	http://dbpedia.org/ontology/broadcastNetwork
	state	ohio state img sports network	http://dbpedia.org/resource/Ohio_State_IMG_Sports_Network	http://dbpedia.org/ontology/broadcastNetwork
	radio	pawsox radio network	http://dbpedia.org/resource/Pawsox_Radio_Network	http://dbpedia.org/ontology/broadcastNetwork
	international	christian era broadcasting service international	http://dbpedia.org/resource/Christian_Era_Broadcasting_Service_International	http://dbpedia.org/ontology/broadcastNetwork
	eternal	eternal word television network	http://dbpedia.org/resource/Eternal_Word_Television_Network	http://dbpedia.org/ontology/broadcastNetwork
	radio	wor radio network	http://dbpedia.org/resource/WOR_Radio_Network	http://dbpedia.org/ontology/broadcastNetwork
	worldwide	disney channels worldwide	http://dbpedia.org/resource/Disney_Channels_Worldwide	http://dbpedia.org/ontology/broadcastNetwork
	south	south carolina gamecocks	http://dbpedia.org/resource/South_Carolina_Gamecocks	http://dbpedia.org/ontology/broadcastNetwork
	israeli	israeli news company	http://dbpedia.org/resource/Israeli_News_Company	http://dbpedia.org/ontology/broadcastNetwork
	handicapped	radio print handicapped network	http://dbpedia.org/resource/Radio_Print_Handicapped_Network	http://dbpedia.org/ontology/broadcastNetwork
	radio	radio and television of bosnia and herzegovina	http://dbpedia.org/resource/Radio_and_Television_of_Bosnia_and_Herzegovina	http://dbpedia.org/ontology/broadcastNetwork
	international	csn international	http://dbpedia.org/resource/CSN_International	http://dbpedia.org/ontology/broadcastNetwork
	radio	tennessee radio network	http://dbpedia.org/resource/Tennessee_Radio_Network	http://dbpedia.org/ontology/broadcastNetwork
	radio	nbc sports radio	http://dbpedia.org/resource/NBC_Sports_Radio	http://dbpedia.org/ontology/broadcastNetwork
	broadcasting	mutual broadcasting system	http://dbpedia.org/resource/Mutual_Broadcasting_System	http://dbpedia.org/ontology/broadcastNetwork
