	president	vice president finance	http://dbpedia.org/resource/Vice_President_Finance	http://dbpedia.org/ontology/keyPerson
	young	neil young	http://dbpedia.org/resource/Neil_Young	http://dbpedia.org/ontology/keyPerson
	tamil	tamil nadu	http://dbpedia.org/resource/Tamil_Nadu	http://dbpedia.org/ontology/keyPerson
	frank	frank marshall	http://dbpedia.org/resource/Frank_Marshall_(film_producer)	http://dbpedia.org/ontology/keyPerson
	iii	harold mcgraw iii	http://dbpedia.org/resource/Harold_McGraw_III	http://dbpedia.org/ontology/keyPerson
	dozier	linda dozier	http://dbpedia.org/resource/Linda_Dozier	http://dbpedia.org/ontology/keyPerson
	tony	tony accurso	http://dbpedia.org/resource/Tony_Accurso	http://dbpedia.org/ontology/keyPerson
	rich	rich melman	http://dbpedia.org/resource/Rich_Melman	http://dbpedia.org/ontology/keyPerson
	general	general partner	http://dbpedia.org/resource/General_partner	http://dbpedia.org/ontology/keyPerson
	trust	bbc trust	http://dbpedia.org/resource/BBC_Trust	http://dbpedia.org/ontology/keyPerson
	max	max hole	http://dbpedia.org/resource/Max_Hole	http://dbpedia.org/ontology/keyPerson
	fair	alfred hewton fair	http://dbpedia.org/resource/Alfred_Hewton_Fair	http://dbpedia.org/ontology/keyPerson
	iii	l. brent bozell iii	http://dbpedia.org/resource/L._Brent_Bozell_III	http://dbpedia.org/ontology/keyPerson
	boon	lee boon yang	http://dbpedia.org/resource/Lee_Boon_Yang	http://dbpedia.org/ontology/keyPerson
	hardy	hardy jones	http://dbpedia.org/resource/Hardy_Jones	http://dbpedia.org/ontology/keyPerson
	wood	peter wood	http://dbpedia.org/resource/Peter_Wood_(businessman)	http://dbpedia.org/ontology/keyPerson
	brown	zak brown	http://dbpedia.org/resource/Zak_Brown	http://dbpedia.org/ontology/keyPerson
	creative	in-house creative director	http://dbpedia.org/resource/In-House_Creative_Director	http://dbpedia.org/ontology/keyPerson
	worth	henry worth thornton	http://dbpedia.org/resource/Henry_Worth_Thornton	http://dbpedia.org/ontology/keyPerson
	les	les de asis	http://dbpedia.org/resource/Les_De_Asis	http://dbpedia.org/ontology/keyPerson
