	iii	frederick iii of denmark	http://dbpedia.org/resource/Frederick_III_of_Denmark	http://dbpedia.org/ontology/monarch
	v	mohammed v of morocco	http://dbpedia.org/resource/Mohammed_V_of_Morocco	http://dbpedia.org/ontology/monarch
	i	khosrau i	http://dbpedia.org/resource/Khosrau_I	http://dbpedia.org/ontology/monarch
	i	michael i of romania	http://dbpedia.org/resource/Michael_I_of_Romania	http://dbpedia.org/ontology/monarch
	i	milo\u0161 obrenovi\u0107 i	http://dbpedia.org/resource/Milo\u0161_Obrenovi\u0107_I,_Prince_of_Serbia	http://dbpedia.org/ontology/monarch
	x	charles x of france	http://dbpedia.org/resource/Charles_X_of_France	http://dbpedia.org/ontology/monarch
	ii	hans-adam ii	http://dbpedia.org/resource/Hans-Adam_II,_Prince_of_Liechtenstein	http://dbpedia.org/ontology/monarch
	vi	tupou vi	http://dbpedia.org/resource/Tupou_VI	http://dbpedia.org/ontology/monarch
	ii	andronikos ii palaiologos	http://dbpedia.org/resource/Andronikos_II_Palaiologos	http://dbpedia.org/ontology/monarch
	saudi	abdullah of saudi arabia	http://dbpedia.org/resource/Abdullah_of_Saudi_Arabia	http://dbpedia.org/ontology/monarch
	iii	ludwig iii of bavaria	http://dbpedia.org/resource/Ludwig_III_of_Bavaria	http://dbpedia.org/ontology/monarch
	xv	charles xv of sweden	http://dbpedia.org/resource/Charles_XV_of_Sweden	http://dbpedia.org/ontology/monarch
	vi	gustaf vi adolf of sweden	http://dbpedia.org/resource/Gustaf_VI_Adolf_of_Sweden	http://dbpedia.org/ontology/monarch
	i	franz joseph i of austria	http://dbpedia.org/resource/Franz_Joseph_I_of_Austria	http://dbpedia.org/ontology/monarch
	v	henry v of england	http://dbpedia.org/resource/Henry_V_of_England	http://dbpedia.org/ontology/monarch
	ii	philip ii of spain	http://dbpedia.org/resource/Philip_II_of_Spain	http://dbpedia.org/ontology/monarch
	vii	albert vii	http://dbpedia.org/resource/Albert_VII,_Archduke_of_Austria	http://dbpedia.org/ontology/monarch
	ii	nicholas ii of russia	http://dbpedia.org/resource/Nicholas_II_of_Russia	http://dbpedia.org/ontology/monarch
	i	alexander i of serbia	http://dbpedia.org/resource/Alexander_I_of_Serbia	http://dbpedia.org/ontology/monarch
	iii	w\u0142adys\u0142aw iii of poland	http://dbpedia.org/resource/W\u0142adys\u0142aw_III_of_Poland	http://dbpedia.org/ontology/monarch
