	broadcasting	nagasaki international television broadcasting	http://dbpedia.org/resource/Nagasaki_International_Television_Broadcasting	http://dbpedia.org/ontology/network
	pink	pink tv	http://dbpedia.org/resource/Pink_TV_(France)	http://dbpedia.org/ontology/network
	la	la deux	http://dbpedia.org/resource/La_Deux	http://dbpedia.org/ontology/network
	christian	american christian television system	http://dbpedia.org/resource/American_Christian_Television_System	http://dbpedia.org/ontology/network
	broadcasting	shin-etsu broadcasting	http://dbpedia.org/resource/Shin-etsu_Broadcasting	http://dbpedia.org/ontology/network
	living	tiny living	http://dbpedia.org/resource/Tiny_Living	http://dbpedia.org/ontology/network
	2nd	2nd avenue	http://dbpedia.org/resource/2nd_Avenue_(television_channel)	http://dbpedia.org/ontology/network
	1	rai 1	http://dbpedia.org/resource/Rai_1	http://dbpedia.org/ontology/network
	one	channel one russia	http://dbpedia.org/resource/Channel_One_Russia	http://dbpedia.org/ontology/network
	one	media one tv	http://dbpedia.org/resource/Media_One_TV	http://dbpedia.org/ontology/network
	footy	fox footy	http://dbpedia.org/resource/Fox_Footy	http://dbpedia.org/ontology/network
	family	discovery family	http://dbpedia.org/resource/Discovery_Family	http://dbpedia.org/ontology/network
	people's	people's television network	http://dbpedia.org/resource/People's_Television_Network	http://dbpedia.org/ontology/network
	weather	sky news weather channel	http://dbpedia.org/resource/Sky_News_Weather_Channel	http://dbpedia.org/ontology/network
	future	future television	http://dbpedia.org/resource/Future_Television	http://dbpedia.org/ontology/network
	two	sbs two	http://dbpedia.org/resource/SBS_Two	http://dbpedia.org/ontology/network
	indigenous	national indigenous television	http://dbpedia.org/resource/National_Indigenous_Television	http://dbpedia.org/ontology/network
	2	france 2	http://dbpedia.org/resource/France_2	http://dbpedia.org/ontology/network
	plus	venevisi\u00f3n plus	http://dbpedia.org/resource/Venevisi\u00F3n_Plus	http://dbpedia.org/ontology/network
	croatian	croatian radiotelevision	http://dbpedia.org/resource/Croatian_Radiotelevision	http://dbpedia.org/ontology/network
