	black	http://dbpedia.org/ontology/spouse	conrad black	1	conrad <adj>	NNP NNP	NNP <adj>	0.15886175218462917	3.9824771007566706E-4	0.002583979328165375	5.149595756733096E-4	5.1495957567330964E-5	5.1495957567330964E-5	ack	0.41666666666666663	0	1	2	0.15886175218462917
	jr.	http://dbpedia.org/ontology/spouse	henry richardson labouisse, jr.	1	henry richardson labouisse, <adj>	NNP NNP NNP , NNP .	NNP NNP NNP , <adj>	0.15886175218462917	3.9824771007566706E-4	0.002583979328165375	0.0033987331994438435	5.1495957567330964E-5	5.1495957567330964E-5	jr.	0.09677419354838712	0	1	4	0.15886175218462917
	stiller	http://dbpedia.org/ontology/spouse	jerry stiller	1	jerry <adj>	NNP NNP	NNP <adj>	0.15886175218462917	3.9824771007566706E-4	0.002583979328165375	1.0299191513466193E-4	5.1495957567330964E-5	5.1495957567330964E-5	ler	0.5384615384615384	0	1	2	0.15886175218462917
	ii	http://dbpedia.org/ontology/spouse	vratislaus ii of bohemia	2	vratislaus <adj> of bohemia	NNP NNP IN NNP	NNP <adj> IN NNP	0.15886175218462917	3.9824771007566706E-4	0.002583979328165375	0.012101550028322777	1.0299191513466193E-4	1.0299191513466193E-4	ii	0.08333333333333337	0	0	2	0.15886175218462917
	blunt	http://dbpedia.org/ontology/spouse	wilfrid scawen blunt	1	wilfrid scawen <adj>	NNP NNP NNP	NNP NNP <adj>	0.15886175218462917	3.9824771007566706E-4	0.002583979328165375	1.544878727019929E-4	5.1495957567330964E-5	5.1495957567330964E-5	unt	0.25	0	1	3	0.15886175218462917
	roman	http://dbpedia.org/ontology/spouse	charles iv, holy roman emperor	4	charles iv, holy <adj> emperor	NNP NNP , JJ JJ NN	NNP NNP , NNP <adj> NNP	0.15886175218462917	3.9824771007566706E-4	0.002583979328165375	0.0026777897935012103	2.0598383026932386E-4	2.0598383026932386E-4	man	0.16666666666666663	0	0	4	0.15886175218462917
	max	http://dbpedia.org/ontology/spouse	max schmeling	1	<adj> schmeling	NNP NNP	<adj> NNP	0.15886175218462917	3.9824771007566706E-4	0.002583979328165375	5.149595756733096E-4	5.1495957567330964E-5	5.1495957567330964E-5	max	0.23076923076923073	1	0	1	0.15886175218462917
	brown	http://dbpedia.org/ontology/spouse	nacio herb brown	1	nacio herb <adj>	NNP NNP NNP	NNP NNP <adj>	0.15886175218462917	3.9824771007566706E-4	0.002583979328165375	9.784231937792884E-4	5.1495957567330964E-5	5.1495957567330964E-5	own	0.3125	0	1	3	0.15886175218462917
	fine	http://dbpedia.org/ontology/spouse	kit fine	1	kit <adj>	NN NN	NN <adj>	0.15886175218462917	3.9824771007566706E-4	0.002583979328165375	1.544878727019929E-4	5.1495957567330964E-5	5.1495957567330964E-5	ine	0.5	0	1	2	0.15886175218462917
	pauline	http://dbpedia.org/ontology/spouse	pauline lafon gore	1	<adj> lafon gore	NNP NNP NNP	<adj> NNP NNP	0.15886175218462917	3.9824771007566706E-4	0.002583979328165375	4.634636181059787E-4	5.1495957567330964E-5	5.1495957567330964E-5	ine	0.38888888888888884	1	0	1	0.15886175218462917
	great	http://dbpedia.org/ontology/spouse	casimir iii the great	4	casimir iii the <adj>	NNP NNP DT NNP	NNP NNP DT <adj>	0.15886175218462917	3.9824771007566706E-4	0.002583979328165375	8.239353210772954E-4	2.0598383026932386E-4	2.0598383026932386E-4	eat	0.23809523809523814	0	1	4	0.15886175218462917
